position,source_text,context,line_no,module,type,document_name
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,From Date,,8,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,To Date,,15,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,Company,,22,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,Lab Test Template,,29,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,Patient,,35,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,Medical Department,,41,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,Status,,47,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.js,Invoiced,,53,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,No records found,,19,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Lab Test,,48,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Lab Test Template,,55,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Company,,62,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Patient,,69,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Patient Name,,76,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Lab Technician,,82,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Status,,89,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Invoiced,,95,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Result Date,,101,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Requesting Practitioner,,107,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/lab_test_report/lab_test_report.py,Medical Department,,114,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.py,Healthcare Practitioner,,70,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.py,Medical Department,,79,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.py,Total,,96,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Tree Type,,9,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Appointment Status,,17,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Scheduled,,20,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Open,,21,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Closed,,22,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Expired,,23,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Cancelled,,24,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Appointment Type,,29,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Healthcare Practitioner,,35,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Medical Department,,41,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,From Date,,47,,,
