position,source_text,context,line_no,module,type,document_name
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/modules.txt,Healthcare,Module Name,0,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Personal Details,,239,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Timesheets,,240,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Lab Test,,241,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Prescription,,242,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Patient Appointment,,243,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Patient,,0,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Customer,,0,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Patient,,0,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Patient,,0,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/hooks.py,Patient,,0,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/config/desktop.py,Healthcare,,10,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/dashboard_chart_source/department_wise_patient_appointments/department_wise_patient_appointments.js,Company,,8,Healthcare,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.json,Patient History,,0,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.json,patient_history,,0,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.json,patient_history,,0,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.json,Healthcare Administrator,,0,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.json,Physician,,0,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Patient History,,5,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Select Patient,,34,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Patient History,,57,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Select Document Type,,78,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Date Range,,101,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,No more records..,,140,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,No more records..,,223,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Today,,235,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Yesterday,,237,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,on {0},,239,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Occupation,,268,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Blood Group,,269,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Allerigies,,270,Healthcare,Page,Patient History
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/Healthcare/healthcare/page/patient_history/patient_history.js,Medication,,271,Healthcare,Page,Patient History
