position,source_text,context,line_no,module,type,document_name
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/therapy_type/therapy_type.py,Item with Item Code {0} already exists,,122,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/therapy_type/therapy_type.js,Change Item Code,,16,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/therapy_type/therapy_type.js,Change Item Code,,69,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/therapy_type/therapy_type.js,Change Item Code,,96,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.py,Please set a valid Service Unit Capacity to enable Overlapping Appointments,,57,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.py,Mandatory,,58,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.py,Service Unit Name and Company are mandatory to create Healthcare Service Units,,76,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.py,Missing Required Fields,,77,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.py,Number of Service Units to be created should at least be 1,,81,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.py,Invalid Number of Service Units,,82,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.js,Healthcare Service Unit Tree,,21,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.js,This is a root healthcare service unit and cannot be edited.,,38,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,Service Unit Tree,,5,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,Company,,12,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,New Service Unit Name,,17,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,Is Group,,21,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,Child nodes can be only created under 'Group' type nodes,,22,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,Service Unit Type,,25,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/doctype/healthcare_service_unit/healthcare_service_unit_tree.js,Type of the new Service Unit,,26,,,
