position,source_text,context,line_no,module,type,document_name
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Patient History,,5,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Select Patient,,34,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Patient History,,57,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Select Document Type,,78,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Date Range,,101,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,No more records..,,140,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,No more records..,,223,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Today,,235,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Yesterday,,237,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,on {0},,239,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Occupation,,268,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Blood Group,,269,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Allerigies,,270,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Medication,,271,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Alcohol use,,272,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Alcohol past use,,273,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Tobacco use,,274,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Tobacco past use,,275,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Medical history,,276,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Surgical history,,277,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Occupational hazards,,278,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Other risk factors,,279,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,More info,,280,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Blood Pressure,,374,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Respiratory/Pulse Rate,,377,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,Temperature,,380,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history.js,BMI,,383,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history_sidebar.html,Gender: ,,12,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_history/patient_history_sidebar.html,Contact: ,,15,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Patient Progress,,5,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Select Patient,,34,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Patient Progress,,57,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Select Therapy Type,,277,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Select Assessment Template,,338,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,{0} out of {1},,385,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Select Assessment Template,,405,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.js,Select Assessment Parameter,,466,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Gender: ,,12,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Contact: ,,15,,,
